Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Landing Count,Total Landed Weight
American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,797,136685500
Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,B738,28,4032000
Jazz Aviation,QK,Air Canada,AC,International,Canada,Passenger,Regional Jet,Bombardier,CRJ9,17,1276700
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,B738,185,27065500
Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,B744,23,15318000
Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Airbus,A319,201,27695382
KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Boeing,B772,2,940000
United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,B789,118,50150000
Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Boeing,B773,31,17174000
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,17,2342413
United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,B738,41,5998300
United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,B789,4,1700000
Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,B744,4,2608000
British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Airbus,A388,13,11206091
Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Airbus,A359,27,12321639
